brand,name,address,phone,link,latitude,longitude,source,updated_at
Nissan,원주 서비스 (SR모터스),강원특별자치도 원주시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,37.4079049,127.95623,Nissan 공식 딜러 목록,1787798109
Nissan,일산 서비스 (케이씨씨모빌리티),경기도 고양시 일산,정보 없음,https://www.nissan.co.kr/dealer-finder.html,37.663489,126.805996,Nissan 공식 딜러 목록,1787798109
Nissan,안양 서비스 (아이모터스),경기도 안양시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,37.391874,126.932017,Nissan 공식 딜러 목록,1787798109
Nissan,광주 서비스 (SG모터스),광주광역시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,35.2329211001437,126.88883775084308,Nissan 공식 딜러 목록,1787798109
Nissan,대구 서비스 (신창모터스),대구광역시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,35.886201,128.5560254,Nissan 공식 딜러 목록,1787798109
Nissan,대전 서비스 (제이에스오토모빌),대전광역시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,36.3534604,127.4438854,Nissan 공식 딜러 목록,1787798109
Nissan,부산 서비스 (D3 모터스),부산광역시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,35.15491,129.112698,Nissan 공식 딜러 목록,1787798109
Nissan,성수 서비스 (케이씨씨모빌리티),서울특별시 성동구,정보 없음,https://www.nissan.co.kr/dealer-finder.html,37.549177,127.044845,Nissan 공식 딜러 목록,1787798109
Nissan,인천 서비스 (EU모터스),인천광역시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,37.47876,126.69079,Nissan 공식 딜러 목록,1787798109
Nissan,전주 서비스 (제이에스오토모빌),전북특별자치도 전주시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,35.803518,127.105615,Nissan 공식 딜러 목록,1787798109
Nissan,제주 서비스 (오토오아시스 하이테크센터),제주특별자치도 제주시,정보 없음,https://www.nissan.co.kr/dealer-finder.html,33.499732,126.510939,Nissan 공식 딜러 목록,1787798109
Tesla,Tesla 원주 서비스(고전압 불가),강원특별자치도 원주시 지정면 신평리 1114-2,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 일산 서비스,경기도 고양시 덕이로 205 10212,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 분당 서비스(고전압 불가),경기도 성남시 대왕판교로 316 13550,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 용인 서비스,경기도 용인시 중부대로 14 16978,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 동탄 서비스,경기도 화성시 경기동로 348 18510,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 창원 서비스(고전압 불가),경상남도 창원시 의창구 차상로 56 51402,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 광주 서비스,광주광역시 서문대로517번길 13 61739,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 대구 서비스,대구광역시 동대구로 50 42185,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 부산 서비스,부산광역시 좌수영로 290 47568,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 강서 서비스,서울특별시 강서구 양천로66길 5 07553,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 노원 서비스(고전압 불가),서울특별시 노원구 수락산로 218-2 01616,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 성수 서비스,서울특별시 성동구 광나루로8길 6 04799,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 문정 서비스,서울특별시 송파구 동남로4길 36-1 05806,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 세종 서비스,세종특별자치시 종합운동장로 19 30154,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 인천 서비스,인천광역시 남동구 앵고개로 673 21677,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Tesla,Tesla 제주 서비스,제주특별자치도 제주시 애월읍 중산간서로 6432 63058,080-617-1399,https://www.tesla.com/ko_KR/findus/list/services/South%2BKorea,,,Tesla 공식 센터 목록,1787798108
Volkswagen,폭스바겐 원주 서비스센터,강원 원주시 북원여중길 2(태장동),033-737-6555,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 일산 서비스센터,경기도 고양시 일산동구 무궁화로 337,031-932-7755,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 구리 서비스센터,경기도 구리시 벌말로 84,031-563-0090,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 판교 서비스센터,경기도 성남시 분당구 대왕판교로 283(궁내동),031-696-0177,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 안양 서비스센터,경기도 안양시 동안구 벌말로102번길 54,031-360-0801,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 수원 서비스센터,경기도 용인시 기흥구 중부대로 56번길 8,031-284-3033,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 하남 서비스센터,경기도 하남시 감초로 184번길 30 (초이동),정보 없음,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 창원 서비스센터,경남 창원시 마산합포구 해안대로 228,055-245-8383,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 포항 서비스센터,경상북도 포항시 북구 흥해읍 소티재로 422-6,054-254-5001,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 광주 서비스센터,광주광역시 남구 송암로 32,062-351-9504,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 대구 이현 서비스센터,대구광역시 서구 문화로 42(이현동),053-567-3200,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 대구 두산 서비스센터,대구광역시 수성구 동대구로 35,053-767-6116,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 대전 서비스센터,대전광역시 대덕구 대덕대로1409번길 1,042-867-8282,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 문현 서비스센터,부산광역시 남구 지게골로 43-16,051-646-8888,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 해운대 서비스센터,부산광역시 해운대구 우동1로 15,051-741-1100,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 구로천왕 서비스센터,서울시 구로구 천왕로 3길 12,02-2135-3450,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 강남 대치 서비스센터,서울특별시 강남구 역삼로 557,02-511-2822,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 강북 미아 서비스센터,서울특별시 강북구 솔샘로 331,02-320-9690,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 염창 서비스센터,서울특별시 강서구 양천로77길 7,02-3663-0900,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 성수 서비스센터,서울특별시 성동구 광나루로6길 46(성수동2가),02-516-0070,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 용산 한강대로 서비스센터,서울특별시 용산구 한강대로 257,02-2057-4000,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 인천 서비스센터,인천광역시 남동구 인주대로 646,032-471-0756,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 순천 서비스센터,전라남도 순천시 해룡면 해광로 184,061-725-9504,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 전주 서비스센터,전라북도 전주시 덕진구 추천로 47-59,063-544-3311,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 제주 서비스센터,제주시 청풍남 8길 56,064-744-0007,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 천안 서비스센터,충청남도 천안시 서북구 한들1로 120,041-571-9994,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
Volkswagen,폭스바겐 청주 서비스센터,충청북도 청주시 흥덕구 신성로 6-16,043-223-0744,https://www.volkswagen.co.kr/app/locals/information/map/servicecenter.jsp,,,Volkswagen Korea 공식 서비스센터,1787798109
